,Id,Personal URL,Profile Cover Image Status,Profile Text Color R,Profile Text Color G,Profile Text Color B,Profile Page Color R,Profile Page Color G,Profile Page Color B,Profile Theme Color R,Profile Theme Color G,Profile Theme Color B,Is Profile View Size Customized?,Location Public Visibility,Profile Creation Month,Profile Creation Day,Profile Creation WeekDay,Profile Creation Hour,User Language,Num of Followers,Num of People Following,Num of Status Updates,Num of Direct Messages,Avg Daily Profile Visit Duration in seconds,Avg Daily Profile Clicks,Profile Image,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,-39600,-36000,-28800,-25200,-21600,-18000,-14400,-10800,-7200,0,3600,7200,10800,14400,16200,18000,19800,21600,25200,28800,32400,36000,37800,39600,46800,Not verified,Pending,Verified,business,celebrity,government,unknown,Num of Profile Likes
23,A6MPJK96T5S3R2II,0,1,0.12,0.19,0.21,0.27,0.69,0.89,0.13,0.51,0.72,0,1,10,24,6,6,6,5.06324326259255,2.6314437690131722,3.819346484080453,1.8750612633917,1.146128035678238,0.3010299956639812,A6MPJK96T5S3R2II.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.7385427409287852
27,PLD0NTJ28SK0QNDH,0,1,0.96,0.55,0.16,0.88,0.92,0.93,0.75,0.87,0.93,0,1,3,19,4,17,6,3.9553028227616918,3.3818367999983434,3.5383223332314397,2.103803720955957,1.1139433523068367,0.3010299956639812,PLD0NTJ28SK0QNDH.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.3207692283386865
29,HJ39PGGHEGD6TBGR,1,0,0.0,0.52,0.71,0.87,1.0,0.8,0.76,0.16,0.19,0,1,11,6,3,14,6,4.279621322484056,3.004751155591001,3.5650209283452936,2.5658478186735176,1.2304489213782739,0.3010299956639812,HJ39PGGHEGD6TBGR.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.513217600067939
30,9RC1RTSBR3AJSFBN,0,1,0.11,0.63,0.95,0.87,0.93,0.96,0.75,0.87,0.93,1,1,10,1,5,14,14,5.222786680747627,0.0,2.734799829588847,2.919601023784111,0.8450980400142568,0.47712125471966244,9RC1RTSBR3AJSFBN.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3.5608626947274646
31,JMN022STT5BN87SG,0,1,0.0,0.0,0.0,0.87,0.93,0.96,0.0,0.0,0.0,0,0,2,8,1,9,4,5.980338399428014,2.037426497940624,3.13956426617585,3.1772478362556233,1.0,0.0,JMN022STT5BN87SG.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.4771212547196624
32,FLCS4PR3B5592578,1,1,0.15,0.11,0.13,0.87,0.93,0.96,1.0,1.0,1.0,0,0,9,27,5,3,14,4.055493006677846,0.3010299956639812,2.9845273133437926,2.204119982655925,1.414973347970818,0.3010299956639812,FLCS4PR3B5592578.png,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.3010299956639812
33,1JHSRR2EH77DQO30,1,0,0.0,0.52,0.71,0.87,0.93,0.96,0.93,0.93,0.93,0,1,6,27,3,4,6,4.130944568044679,2.100370545117563,3.668106237932731,2.05307844348342,1.4471580313422192,0.6020599913279624,1JHSRR2EH77DQO30.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.7867514221455614
34,FL8L0BB95RHDT6KB,0,0,0.98,0.45,0.24,0.87,0.93,0.96,1.0,0.4,0.0,0,1,10,23,3,9,13,4.962984584316997,2.7234556720351857,3.5575072019056577,2.576341350205793,1.4471580313422192,0.6989700043360189,FL8L0BB95RHDT6KB.png,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.448242412634439
35,2KH2156G99MCKEGD,0,1,0.11,0.63,0.95,0.87,0.93,0.96,0.75,0.87,0.93,1,0,6,10,3,10,6,5.3001496576948,2.708420900134713,4.250980807096349,2.0863598306747484,1.4313637641589874,0.9542425094393249,2KH2156G99MCKEGD.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3.810568529216413
37,6LCK766O5EP9T5HQ,0,1,0.5,0.71,0.84,0.0,0.15,0.34,0.0,0.13,0.24,0,1,11,6,4,4,6,3.93696589710787,2.3710678622717363,4.012204296030743,2.4183012913197452,1.3010299956639813,0.3010299956639812,6LCK766O5EP9T5HQ.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0350292822023683
38,RKAFR6TA0Q9NR8BN,0,1,0.0,0.59,0.84,0.6,0.8,0.2,0.14,0.31,0.21,0,1,10,29,3,16,6,5.645129365722048,2.4885507165004443,3.7985125330313516,3.4705574852172743,1.3010299956639813,0.3010299956639812,RKAFR6TA0Q9NR8BN.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.1835545336188615
39,GA75KLPQDQC6EAOM,0,1,0.0,0.52,0.71,0.87,1.0,0.8,0.6,0.89,0.91,0,0,11,18,1,22,18,5.779967863423068,1.7634279935629373,4.601408060534684,3.1562461903973444,1.5314789170422551,0.6989700043360189,GA75KLPQDQC6EAOM.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.8524799936368566
41,6TI9B2OAS2A04S0Q,0,0,0.39,0.18,0.55,0.48,0.76,0.93,0.09,0.09,0.09,0,0,12,2,3,8,6,4.795685409820842,1.2304489213782739,3.6810602436318116,2.3654879848909,1.2041199826559248,0.3010299956639812,6TI9B2OAS2A04S0Q.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.494988973683168
43,4F65H007IRM3AAAT,1,1,0.33,0.75,0.91,0.98,0.95,0.85,1.0,1.0,1.0,0,0,2,6,4,1,6,3.6604860157849677,2.8318697742805017,3.569490954348783,2.0644579892269186,1.380211241711606,0.6020599913279624,4F65H007IRM3AAAT.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.037426497940624
47,56KBEPJ83CBCMJQJ,1,1,0.01,0.01,0.39,0.65,0.0,0.0,0.34,0.49,0.73,0,1,3,7,5,5,6,4.361708953238316,3.1844074854123203,3.6285932558512592,2.6180480967120925,1.041392685158225,0.6020599913279624,56KBEPJ83CBCMJQJ.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.6580113966571126
50,E8QHGNSDBF02TEA5,0,1,0.0,0.6,0.6,0.94,0.94,0.94,0.07,0.08,0.09,0,0,2,1,4,14,24,6.134238325391563,1.0791812460476249,2.0293837776852097,2.940516484932567,1.380211241711606,0.47712125471966244,E8QHGNSDBF02TEA5.png,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.7403626894942439
51,MGS0LDCQBRMK7JRS,1,1,0.0,0.52,0.71,0.87,0.93,0.96,0.98,0.98,0.98,0,0,12,3,4,14,16,2.6201360549737576,2.733999286538387,3.037426497940624,1.2304489213782739,1.1139433523068367,0.3010299956639812,MGS0LDCQBRMK7JRS.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.968482948553935
53,2AOO8TCISS4FA63B,1,0,0.01,0.01,0.01,0.87,0.93,0.96,0.18,0.18,0.18,0,0,4,23,5,10,6,4.810326627345006,3.037027879755775,4.2173259902271125,2.1492191126553797,1.462397997898956,0.47712125471966244,2AOO8TCISS4FA63B.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.6138418218760693
55,H2BBQQ4A2RJM7KKE,1,1,0.0,0.52,0.71,0.87,0.93,0.96,0.75,0.87,0.93,0,0,12,10,3,14,6,3.317436496535099,2.949877704036875,3.3104808914626753,1.9138138523837167,1.0791812460476249,0.47712125471966244,H2BBQQ4A2RJM7KKE.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1139433523068367
57,4E4KR7GIMA65ETFJ,1,1,0.02,0.08,0.1,0.46,0.78,0.87,0.0,0.18,0.38,0,1,9,23,3,16,6,5.447311558322829,3.3736474722092176,4.2599759281579175,3.2657609167176105,1.0,0.3010299956639812,4E4KR7GIMA65ETFJ.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.4144719496293026
58,L7E2SI1731RFCPTN,1,1,0.11,0.27,0.23,0.95,0.97,0.95,0.1,0.25,0.21,0,1,4,20,0,17,6,5.598719394792017,2.785329835010767,4.394644268735318,3.1749315935284423,1.5185139398778875,0.6989700043360189,L7E2SI1731RFCPTN.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2.7307822756663893
59,M473N6M38GSPCEEJ,1,0,0.0,0.52,0.71,0.68,0.78,0.85,0.01,0.14,0.19,0,1,3,3,3,20,6,3.8426716337607885,2.727541257028556,4.033101936663848,2.05307844348342,1.591064607026499,0.6020599913279624,M473N6M38GSPCEEJ.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.5825178836040625
60,MQMAT5373DHHQ53A,0,1,0.11,0.63,0.95,0.87,0.93,0.96,0.75,0.87,0.93,1,1,5,17,1,17,6,3.6349808000512285,3.5725230978496376,3.787460474518415,1.8388490907372552,1.1139433523068367,0.9542425094393249,MQMAT5373DHHQ53A.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.716003343634799
62,KJN5N5S398N9SD8P,1,0,0.2,0.2,0.2,0.95,0.97,0.93,0.44,0.58,0.01,0,1,7,12,3,18,6,3.0068937079479006,3.0863598306747484,3.469822015978163,1.4471580313422192,1.5563025007672873,0.3010299956639812,KJN5N5S398N9SD8P.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.5440680443502757
63,AIM317QSPGR8F39E,0,1,0.67,0.72,0.76,0.87,0.93,0.96,0.8,0.88,0.96,0,0,3,24,3,11,6,5.23094679720388,2.9542425094393248,4.3625201722887965,2.4871383754771865,1.2041199826559248,0.3010299956639812,AIM317QSPGR8F39E.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.574031267727719
64,M9BC3E5778Q2REHL,1,1,0.18,0.76,0.94,0.15,0.14,0.16,0.1,0.11,0.12,0,1,10,20,1,0,0,5.507711532465581,3.16345955176999,4.209515014542631,2.3909351071033793,1.414973347970818,0.47712125471966244,M9BC3E5778Q2REHL.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.640481436970422
65,A07Q4M69E9EGO3G9,1,1,0.67,0.72,0.76,0.87,0.93,0.96,0.75,0.87,0.93,0,0,10,28,3,14,10,3.7038070652743285,3.2796669440484556,3.3348556896172914,2.298853076409707,1.3222192947339193,0.9542425094393249,A07Q4M69E9EGO3G9.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.2648178230095364
66,0567ID5Q7KFG1A10,0,0,0.17,0.61,0.83,0.94,0.94,0.94,0.17,0.61,0.83,0,0,7,11,3,21,8,3.482730700079943,3.1112625136590655,3.330210784571528,0.9542425094393249,1.380211241711606,0.47712125471966244,0567ID5Q7KFG1A10.png,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.279894980011638
67,GJOTI5QFSK45M0ID,1,1,0.0,0.6,0.6,0.94,0.94,0.94,0.07,0.08,0.09,0,0,3,5,3,3,6,4.182756931040399,3.373463721632369,4.473253337091734,2.290034611362518,1.3010299956639813,0.8450980400142568,GJOTI5QFSK45M0ID.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.423245873936808
70,G9H7C0J72O1MALO6,0,1,0.0,0.6,0.6,0.75,0.87,0.93,0.07,0.08,0.09,0,1,7,6,0,11,6,5.273015169264805,2.2278867046136734,4.36655369287421,2.287801729930226,1.3424226808222062,0.3010299956639812,G9H7C0J72O1MALO6.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2.8536982117761744
74,E2EL82825DOTSAM0,0,1,0.11,0.27,0.49,1.0,0.75,0.0,1.0,1.0,1.0,0,1,4,23,3,14,4,4.181929295503233,2.4456042032735974,4.532091606278935,2.60959440922522,1.5314789170422551,0.6020599913279624,E2EL82825DOTSAM0.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.4497868469857735
75,F3897S7G88BTS462,0,0,0.23,0.58,0.85,0.94,0.94,0.94,0.75,0.87,0.93,0,1,4,24,5,16,6,5.422826126300131,2.907411360774586,3.6637951222194074,2.9523080096621253,1.5314789170422551,0.3010299956639812,F3897S7G88BTS462.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0827853703164503
79,J45BGQ1MCJFPA998,0,1,0.0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,1,9,1,0,1,6,5.571237022629522,2.9355072658247128,3.2132520521963968,1.662757831681574,1.3979400086720377,0.3010299956639812,J45BGQ1MCJFPA998.png,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.4820155764507117
80,4BDSL0P0337096G9,0,1,0.56,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,1,8,4,1,8,6,6.043912952159261,2.910624404889201,4.457321643676834,2.6599162000698504,1.5563025007672873,0.6020599913279624,4BDSL0P0337096G9.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3.870988813760575
82,CNDAI89D86NLJJEK,1,1,0.87,0.0,0.0,0.87,0.93,0.96,0.97,0.51,0.51,0,1,6,4,1,12,14,4.3524526617530155,1.9344984512435677,3.0170333392987803,2.595496221825574,1.3617278360175928,0.8450980400142568,CNDAI89D86NLJJEK.png,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.0791812460476249
83,BD5MJ0M9F7481EK5,1,1,0.18,0.76,0.94,0.2,0.2,0.2,0.1,0.11,0.12,0,1,1,2,6,5,6,6.0578444246617185,0.0,2.3404441148401185,2.9566485792052033,1.6020599913279625,0.3010299956639812,BD5MJ0M9F7481EK5.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.47712125471966244
84,L3SE27BJ5DJBC4L7,0,1,0.11,0.63,0.95,0.87,0.93,0.96,0.75,0.87,0.93,1,1,8,7,4,9,6,4.601408060534684,2.4653828514484184,4.235528446907549,2.0644579892269186,1.1760912590556813,0.3010299956639812,L3SE27BJ5DJBC4L7.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.585347911094591
85,5SSIJHBFHCL5RO62,0,1,0.0,0.73,0.95,0.15,0.14,0.16,0.64,0.87,0.95,0,1,5,17,0,9,6,5.745293445981132,1.414973347970818,4.476570799680749,2.6580113966571126,1.0791812460476249,0.47712125471966244,5SSIJHBFHCL5RO62.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.671358003443492
88,CH38QNFR9LBCO707,1,1,0.36,0.39,0.61,0.49,0.08,0.11,0.75,0.87,0.93,0,0,3,17,3,10,8,3.887223331362523,3.2676409823459154,3.6390878710837375,1.845098040014257,1.5185139398778875,0.6020599913279624,CH38QNFR9LBCO707.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.603144372620182
93,1FMIBN79GEI02ERS,0,1,0.27,0.78,0.27,0.94,0.94,0.94,0.6,0.64,0.71,0,1,9,11,6,14,10,4.2990494465975395,2.803457115648414,4.07979606117236,1.9294189257142929,1.505149978319906,0.47712125471966244,1FMIBN79GEI02ERS.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3.226342087163631
94,BOO0RTKSI0QN80IK,0,1,0.11,0.63,0.95,0.87,0.93,0.96,0.75,0.87,0.93,1,1,3,22,6,17,6,5.398937739029831,2.294466226161593,2.640481436970422,3.354876422516234,1.3222192947339193,0.47712125471966244,BOO0RTKSI0QN80IK.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.509202522331103
96,NF3QB4SC25GJ6M3R,0,1,0.38,0.87,0.94,0.89,0.89,0.87,0.02,0.02,0.02,0,1,3,11,3,9,6,6.12632853286215,2.6201360549737576,4.45969397647797,3.4114513421379375,1.4471580313422192,0.47712125471966244,NF3QB4SC25GJ6M3R.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3.4473131088235682
99,PHTS8MA14R1MBOC4,1,1,0.07,0.55,0.53,0.87,0.93,0.96,0.07,0.55,0.53,0,0,5,13,4,7,24,4.622369470494736,0.47712125471966244,3.3525683861793087,1.5440680443502757,1.5563025007672873,0.3010299956639812,PHTS8MA14R1MBOC4.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3010299956639812
100,S8OSKJP7AAAPMD6N,0,1,0.92,0.4,0.04,0.15,0.14,0.16,0.0,0.0,0.01,0,1,7,20,3,7,10,5.412925673785806,2.5563025007672873,4.374931553978188,2.9410142437055695,1.505149978319906,0.47712125471966244,S8OSKJP7AAAPMD6N.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3.229169702539101
101,NG8F5HFQPN95S2AL,1,1,0.93,0.2,0.15,0.87,1.0,0.8,0.0,0.0,0.0,0,1,2,18,3,13,6,4.791178173960386,3.256958152560932,4.14637613307539,3.125806458139527,1.414973347970818,0.6020599913279624,NG8F5HFQPN95S2AL.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.532244643626582
